period close,Grant Kiehne,Simon Thornington,Szilvia Hegyi,Michael Van Kleeck,Spencer Singleton,Pravin Bezwada,Robert Shanks
2015-03-02,0.00219046
2015-03-03,-0.00478001
2015-03-04,-0.00287494
2015-03-05,-0.00136095
2015-03-06,-0.01429826
2015-03-09,0.00195459
2015-03-10,-0.02259138
2015-03-11,0.00216243
2015-03-12,-0.00337753
2015-03-13,-0.00290823
2015-03-16,0.0098867
2015-03-17,-0.002957
2015-03-18,0.00976828
2015-03-19,-0.00423045
2015-03-20,0.00835671
2015-03-23,-0.00265715
2015-03-24,-0.00655902
2015-03-25,-0.02162631
2015-03-26,-0.00027124
2015-03-27,0.01115077
2015-03-30,0.00826599
2015-03-31,-0.01171637
2015-04-01,-0.00572822,-0.0002323
2015-04-02,0.0025707,-0.00242063
2015-04-06,0.00745605,3.477e-05
2015-04-07,-0.00059801,1.38e-06
2015-04-08,0.0046697,0.00053056
2015-04-09,0.00635136,0.00093346
2015-04-10,0.0082279,-0.00123613
2015-04-13,-0.00209866,0.00359368
2015-04-14,-0.00138913,0.00167333
2015-04-15,0.00264744,0.00019418
2015-04-16,0.00179688,0.00058062
2015-04-17,-0.01727001,-0.00070697
2015-04-20,0.01576904,-0.0001041
2015-04-21,-0.01288915,-0.00078644
2015-04-22,0.00534104,0.00017571
2015-04-23,0.00420703,-0.00050965
2015-04-24,0.00866403,0.00014112
2015-04-27,0.00458635,0.00102903
2015-04-28,0.00072528,0.00013727
2015-04-29,-0.01035594,0.00407712
2015-04-30,-0.0148392,0.00108608
2015-05-01,0.01239329,0.00350119
2015-05-04,0.00396669,0.00042564
2015-05-05,-0.01155948,0.00140786
2015-05-06,-0.00572292,-0.00508326
2015-05-07,0.00873064,0.00092591
2015-05-08,0.0162262,-0.00103782
2015-05-11,-0.00638279,0.00121819
2015-05-12,-0.00493564,0.00155247
2015-05-13,0.00076366,-0.00128943
2015-05-14,0.01239468,-0.0006251
2015-05-15,0.00071065,0.00107746
2015-05-18,0.00222682,0.00100265
2015-05-19,0.00298321,-0.00238102
2015-05-20,0.00028546,-0.00029044
2015-05-21,0.00344828,0.0009711
2015-05-22,-0.00469085,0.00091523
2015-05-26,-0.00581754,0.00064107
2015-05-27,0.01161518,-0.00018839
2015-05-28,-0.0005363,-0.00031239
2015-05-29,-0.00788563,3.344e-05
2015-06-01,0.00384083,0.00076494,0.0
2015-06-02,-0.00316779,0.00150033,-0.00062865
2015-06-03,0.00353709,0.00020118,-0.00153547
2015-06-04,-0.01077055,-0.00528737,-0.00178182
2015-06-05,-0.00706602,-0.00085292,0.00064247
2015-06-08,-0.00780379,0.00089213,6.61e-05
2015-06-09,-0.00266329,0.00144532,0.00120566
2015-06-10,0.01363913,-0.00060878,0.00055284
2015-06-11,0.00462744,0.00225594,0.00228228
2015-06-12,-0.00913726,-0.00064626,0.00015913
2015-06-15,-0.00403255,0.00186294,0.00195589
2015-06-16,0.00480508,0.00081866,-0.00071675
2015-06-17,0.00206932,-0.00093158,-0.00244921
2015-06-18,0.01527259,-0.00011497,-0.00341338
2015-06-19,-0.0069674,-0.00098902,0.001731
2015-06-22,0.00635271,0.00512915,-0.00480802
2015-06-23,-0.00398969,-0.00054657,0.00165222
2015-06-24,-0.01278502,0.00270107,0.00401183
2015-06-25,-0.00286072,-0.00052979,0.00170234
2015-06-26,-0.0046775,-0.00052202,0.00130147
2015-06-29,-0.02254803,0.02050179,0.00663918
2015-06-30,0.00143385,-0.00857158,-9.488e-05
2015-07-01,0.00827119,0.00325319,-0.01522278
2015-07-02,-0.00358455,0.00757547,-0.00349725
2015-07-06,-0.00383411,-0.00174352,-0.00303177
2015-07-07,-0.00266463,-0.01503035,-0.00453822
2015-07-08,-0.01698543,0.0253157,0.00269793
2015-07-09,-0.00327627,-0.0016767,-0.00015205
2015-07-10,0.0122537,0.01306146,0.00143086
2015-07-13,0.01586566,0.00076135,0.00155369
2015-07-14,0.00443864,0.0021358,0.00058352,-5.18e-05
2015-07-15,0.00192478,-0.0011628,-0.00098734,0.00079961
2015-07-16,0.01132165,0.00060512,0.00267999,-0.00045902
2015-07-17,0.00022495,0.00178375,-0.01145103,0.0003297
2015-07-20,-0.00201359,-0.00156613,-0.00462165,0.00069762
2015-07-21,-0.0045103,0.00223297,-0.00235542,-0.00109381
2015-07-22,-0.00864761,-0.00268652,0.00065894,0.0040546
2015-07-23,-0.01077284,0.0005824,-0.00224336,8.056e-05
2015-07-24,-0.01517928,0.00161406,-0.00296442,0.00091209
2015-07-27,-0.00027913,-0.0015844,-0.00204843,0.0043144
2015-07-28,0.00698919,0.000897,0.00089108,0.00070374
2015-07-29,0.00098058,0.0023689,0.00386129,0.00027942
2015-07-30,0.00074129,-0.00019979,0.00061194,0.0018299
2015-07-31,0.00079137,0.00033848,-0.00273177,-0.00415417
2015-08-03,-0.00663436,0.0012896,-0.00057168,0.0027653
2015-08-04,-0.00773935,1.944e-05,0.00320588,-0.00178312
2015-08-05,0.00158366,9.895e-05,0.00408537,0.00025614
2015-08-06,-0.00514906,-0.00611067,-0.00829897,-0.00104529
2015-08-07,-0.00721467,-0.00100063,-0.00905073,-0.00067392
2015-08-10,0.01782246,-0.00271073,0.00189557,-0.0007864
2015-08-11,-0.019331,-0.00121509,-0.00858171,0.00431232
2015-08-12,0.00241786,-0.00488759,0.00263068,0.00590317
2015-08-13,-0.00345733,-0.0042247,-0.00322327,0.0001762
2015-08-14,0.0073955,0.00032149,0.00535596,0.0003839
2015-08-17,0.00783201,-0.00044936,0.00321555,0.00577004
2015-08-18,-0.00710388,0.00052683,-0.00299152,0.00287647
2015-08-19,-0.01142443,0.00160518,-0.00884819,0.00183576
2015-08-20,-0.00841609,0.00298724,-0.00664955,-0.00070217
2015-08-21,"",-0.00221622,-0.00344809,-0.00179728
2015-08-24,"",-0.04175551,-0.00629142,0.00058623
2015-08-25,"",https://www.quantopian.com/posts/march-prize-algorithm-restart,-0.00453708,-0.01164593
2015-08-26,"",-0.0892269,0.01644989,0.00446806
2015-08-27,"",0.00170042,-0.003345,-0.00098362
2015-08-28,"",0.00784453,-0.00160853,0.00400584
2015-08-31,"",0.00448558,0.00200367,-0.00150406
2015-09-01,"",-0.0020937,-0.005993,0.00288459
2015-09-02,"",0.00892597,-0.00098068,0.00232279
2015-09-03,"",-0.01388522,0.00105156,-0.00121781
2015-09-04,"",-0.01621652,-0.0024517,0.00539079
2015-09-08,"",0.00340551,0.00407797,-0.00243094
2015-09-09,"",-0.00495166,-0.00244784,-0.00459871
2015-09-10,"",0.00092932,-0.00124671,-0.00060231
2015-09-11,"",-0.00190438,-0.00288859,0.00139929
2015-09-14,"",0.00065766,-0.00198242,-0.00020237
2015-09-15,"",0.00248475,-0.00023672,0.00213272
2015-09-16,"",-0.00073163,0.00361159,-0.00509997
2015-09-17,"",0.00551621,-0.00352235,-0.00147577
2015-09-18,"",-0.00230222,-0.00880602,0.00143659
2015-09-21,"",0.00163843,-0.00551674,0.00214569,0.00051161
2015-09-22,"",0.01728393,-0.0062206,0.00407624,0.00135751
2015-09-23,"",0.00341212,-0.00179817,0.00388251,0.00294549
2015-09-24,"","","",-0.00039348,-0.0015033
2015-09-25,"",-0.00170926,0.00065342,0.00118901,0.00192817
2015-09-28,"",-0.01015406,0.0079913,-0.00240147,-0.00360724
2015-09-29,"",0.00263189,-0.00047297,-0.00102763,0.00184142
2015-09-30,"",0.0004856,0.00228751,-0.00214806,0.00238688
2015-10-01,"","",-0.00375347,-0.0032846,0.00082189
2015-10-02,"","",0.00012817,-0.00357327,-0.00216662
2015-10-05,"","",0.0006259,-0.00133862,-0.00319419
2015-10-06,"","",-0.00051766,-0.00111516,-0.0047382
2015-10-07,"","",-0.00149665,-0.00508413,-0.00175715
2015-10-08,"","",0.00048681,-0.00083308,-0.00152764
2015-10-09,"","",0.00359795,-0.00043693,0.00091565
2015-10-12,"","",0.00074478,0.00248667,0.00578257
2015-10-13,"","",0.00018182,0.00400203,-0.00079995
2015-10-14,"","",-0.01030461,-0.00460973,0.00051534
2015-10-16,"","",-0.00155381,0.00167359,0.00325197
2015-10-19,"","",0.00041425,0.00375552,-0.00157198
2015-10-20,"","",-0.00363753,0.00071109,0.00016677
2015-10-21,"","",-0.00103861,0.00068568,0.00243641
2015-10-22,"","",0.01643358,0.00010635,-0.00235031
2015-10-23,"","",-0.0022741,0.00145443,-0.00120929
2015-10-26,"","",-0.00026063,0.00195082,0.00136245
2015-10-27,"","",-0.0028298,0.00197971,0.00558145
2015-10-28,"","",-0.00195395,0.00242881,-0.00279802
2015-10-29,"","",0.001272,0.00082846,0.00163752
2015-10-30,"","",-0.00489184,0.00246919,-0.00445309
2015-11-02,"","",0.00256315,0.0,-0.00589244
2015-11-03,"","",-0.00823628,0.0,0.00070432
2015-11-04,"","",0.00038611,0.0,-0.00619341
2015-11-05,"","",-0.00554686,-0.00014252,-0.00017588
2015-11-06,"","",0.0012851,0.0,0.00090366
2015-11-09,"","",-0.00309516,-8.98e-05,-0.00264714,-0.00039518
2015-11-10,"","",-0.00050762,0.00038017,0.00074225,-0.00309612
2015-11-11,"","",-0.00157879,-0.00137013,0.00032413,-0.00160031
2015-11-12,"","","",-0.00073831,0.00306582,-0.00088417
2015-11-13,"","","",-0.00018418,-0.00510879,0.00293429
2015-11-16,"","","",-0.00109284,-0.00198272,-0.00106212
2015-11-17,"","","",-0.00076283,0.0043643,0.00084786
2015-11-18,"","","",0.0034906,-0.00151322,4.081e-05
2015-11-19,"","","",-0.00341815,0.00186478,-0.00239027
2015-11-20,"","","",0.00029373,0.00175505,0.0010837
2015-11-23,"","","",0.00306312,9.963e-05,0.00117914
2015-11-24,"","","",-4.536e-05,-0.00132793,0.00185275
2015-11-25,"","","",0.00111353,0.00220191,-0.00203942
2015-11-27,"","","",0.00559266,-0.00091892,-0.00068568
2015-11-30,"","","",-0.00215245,-0.00112744,-0.00064766
2015-12-01,"","","",0.00072862,0.00053777,0.00011342
2015-12-02,"","","",-7.795e-05,0.0037772,-0.0025133
2015-12-03,"","","",-0.00465071,-0.00128028,-0.00108986
2015-12-04,"","","",0.00626455,0.00529738,-0.00635517
2015-12-07,"","","",0.00182131,0.0023144,-0.00424586
2015-12-08,"","","",0.00347483,0.00154464,0.00127216
2015-12-09,"","","",-0.00108393,-0.00251473,0.00282418
2015-12-10,"","","",0.00352269,-0.000233,0.00202614
2015-12-11,"","","",0.00196053,0.0003228,-0.00234746
2015-12-14,"","","",-0.00157606,0.00627002,-0.00298274
2015-12-15,"","","",0.00038267,0.00053817,-0.00461725
2015-12-16,"","","",-0.00188854,0.00135783,-0.00447422
2015-12-17,"","","",-0.00195573,-0.00145128,-0.00446554
2015-12-18,"","","",-0.00783699,-0.00034349,-0.00325118
2015-12-21,"","","",0.00461012,8.45e-06,-0.00227889
2015-12-22,"","","",0.00080301,-0.00332294,0.00135655
2015-12-23,"","","",-0.00166676,-0.00337381,0.00653434
2015-12-24,"","","",9.722e-05,0.00170185,4.9e-06
2015-12-28,"","","",-0.00220465,0.00136867,-0.00196018
2015-12-29,"","","",0.00284592,0.0001776,-0.00490844
2015-12-30,"","","",0.00160729,0.00106215,-0.00019475
2015-12-31,"","","",-0.00163421,-0.00187729,0.00228903
2016-01-04,"","","",0.00389218,-0.00434429,0.00155979
2016-01-05,"","","",0.00060727,0.00132134,0.00125196
2016-01-06,"","","",0.00220168,-0.00228258,-0.00768742
2016-01-07,"","","",0.00069816,0.00401103,-0.0061534
2016-01-08,"","","",-0.0002292,-3.928e-05,0.00181515
2016-01-11,"","","",0.00010518,0.0013944,-0.00763927
2016-01-12,"","","",0.00221092,0.0038461,-0.0103369
2016-01-13,"","","",-0.00544704,0.00131501,-0.0126724
2016-01-14,"","","","",0.00106047,0.01619735
2016-01-15,"","","","",0.00498271,-0.01155031
2016-01-19,"","","","",0.00508319,-0.00522208
2016-01-20,"","","","",7.972e-05,-0.00101561
2016-01-21,"","","","",-0.00189093,0.00823781
2016-01-22,"","","","",-0.00031499,0.01421972
2016-01-25,"","","","",0.00741329,-0.00868063
2016-01-26,"","","","",-0.00395899,0.00584743
2016-01-27,"","","","","",-0.00215349
2016-01-28,"","","","",0.00029305,0.00217003
2016-01-29,"","","","",-0.01375098,0.00304905
2016-02-01,"","","","",0.00437968,0.00053256
2016-02-02,"","","","",0.00088454,0.00061397
2016-02-03,"","","","",-0.00926232,-0.00096677
2016-02-04,"","","","",-0.00202995,-0.00793558
2016-02-05,"","","","",-0.00734743,-0.00908124
2016-02-08,"","","","",-0.00379782,-0.02163126
2016-02-09,"","","","",0.00443252,0.00353469
2016-02-10,"","","","",0.0025462,0.00304441
2016-02-11,"","","","",0.00509843,-0.00187768
2016-02-12,"","","","",0.00649568,0.00236621
2016-02-16,"","","","",-0.00204275,0.00742792
2016-02-17,"","","","",-0.00035249,0.00559375
2016-02-18,"","","","",-0.00096059,-0.00040325
2016-02-19,"","","","",-0.00056523,-0.00298776
2016-02-22,"","","","",0.00580661,0.00516445
2016-02-23,"","","","",-0.00214712,-0.00116678
2016-02-24,"","","","",-0.00101351,0.00620712
2016-02-25,"","","","",-0.00343804,0.00245527
2016-02-26,"","","","",-0.00232645,0.04259477
2016-02-29,"","","","",-0.00055491,0.01643844
2016-03-01,"","","","",-0.00056794,0.04929534
2016-03-02,"","","","",-0.00014277,0.00607378
2016-03-03,"","","","",-0.00431529,0.03340211
2016-03-04,"","","","",-0.00017429,0.00630317
2016-03-07,"","","","",-0.00193962,-0.00506704
2016-03-08,"","","","",0.00519688,-0.00605711
2016-03-09,"","","","",-0.0049597,0.00393457
2016-03-10,"","","","",0.00218945,-0.00895586
2016-03-11,"","","","",-0.00193302,0.00655484
2016-03-14,"","","","",0.00045604,0.00220777
2016-03-15,"","","","",-0.0005218,-0.00247933
2016-03-16,"","","","",-0.00345449,0.00777078
2016-03-17,"","","","",-0.00908397,-0.00019882
2016-03-18,"","","","",-0.00367244,0.0037111
2016-03-21,"","","","","",-0.00223082
2016-03-22,"","","","","",0.00091505
2016-03-23,"","","","","",-0.00571594
2016-03-24,"","","","","",-0.00238656
2016-03-28,"","","","","",-0.00053915
2016-03-29,"","","","","",-0.00175236
2016-03-30,"","","","","",-0.00120808
2016-03-31,"","","","","",0.0009952
2016-04-01,"","","","","",-0.0021687
2016-04-04,"","","","","",-0.00346904
2016-04-05,"","","","","",0.00078455,-0.00395084
2016-04-06,"","","","","",0.00252708,-0.00015545
2016-04-07,"","","","","",0.0015133,0.00119617
2016-04-08,"","","","","",0.00319952,-0.00058784
2016-04-11,"","","","","",0.00168754,-0.0038557
2016-04-12,"","","","","",0.00336016,0.00234749
2016-04-13,"","","","","",0.00120807,-0.00449337
2016-04-14,"","","","","",-0.00262839,-0.00316784
2016-04-15,"","","","","",-0.00220055,-0.00637294
2016-04-18,"","","","","",-0.0022307,0.00464501
2016-04-19,"","","","","",0.00466305,0.00175936
